,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
47,99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,,0.000000,1,AMXIDX,NSE,0.000000
48,99926012,Nifty 100,NIFTY 100,,0.000000,1,AMXIDX,NSE,0.000000
49,99926023,Nifty Pharma,NIFTY PHARMA,,0.000000,1,AMXIDX,NSE,0.000000
50,99926024,Nifty PSE,NIFTY PSE,,0.000000,1,AMXIDX,NSE,0.000000
51,99926025,Nifty PSU Bank,NIFTY PSU BANK,,0.000000,1,AMXIDX,NSE,0.000000
52,99926026,Nifty Serv Sector,NIFTY SERV SECTOR,,0.000000,1,AMXIDX,NSE,0.000000
53,99926029,Nifty Auto,NIFTY AUTO,,0.000000,1,AMXIDX,NSE,0.000000
54,99926020,Nifty Energy,NIFTY ENERGY,,0.000000,1,AMXIDX,NSE,0.000000
55,99926021,Nifty FMCG,NIFTY FMCG,,0.000000,1,AMXIDX,NSE,0.000000
56,99926022,Nifty MNC,NIFTY MNC,,0.000000,1,AMXIDX,NSE,0.000000
57,100,ARE&M-EQ,ARE&M,,-1.000000,1,,NSE,10.000000
58,1001,94SFL28-YL,94SFL28,,-1.000000,1,,NSE,1.000000
59,1007,679PN35-SG,679PN35,,-1.000000,100,,NSE,1.000000
60,10097,GUJRAFFIA-BE,GUJRAFFIA,,-1.000000,1,,NSE,1.000000
61,1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1.000000,1,,NSE,10.000000
62,10190,781TN52-SG,781TN52,,-1.000000,100,,NSE,1.000000
63,10204,793TS34-SG,793TS34,,-1.000000,100,,NSE,1.000000
64,10238,CONFIPET-EQ,CONFIPET,,-1.000000,1,,NSE,1.000000
65,1030,AARON-EQ,AARON,,-1.000000,1,,NSE,5.000000
66,10217,ADANIENSOL-EQ,ADANIENSOL,,-1.000000,1,,NSE,5.000000
67,10285,AYMSYNTEX-EQ,AYMSYNTEX,,-1.000000,1,,NSE,1.000000
68,1044,AXISBNKETF-EQ,AXISBNKETF,,-1.000000,1,,NSE,1.000000
69,10338,787TN33-SG,787TN33,,-1.000000,100,,NSE,1.000000
70,10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1.000000,1,,NSE,1.000000
71,10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000
72,10454,797WB42-SG,797WB42,,-1.000000,100,,NSE,1.000000
73,10473,POWERMECH-EQ,POWERMECH,,-1.000000,1,,NSE,10.000000
74,10501,H1158D46DQ-MF,H1158D46DQ,,-1.000000,1,,NSE,1.000000
75,10515,UTISENSETF-EQ,UTISENSETF,,-1.000000,1,,NSE,1.000000
76,10528,768AS32-SG,768AS32,,-1.000000,100,,NSE,1.000000
77,10503,H1158D46RD-MF,H1158D46RD,,-1.000000,1,,NSE,1.000000
78,10507,H1158D46RQ-MF,H1158D46RQ,,-1.000000,1,,NSE,1.000000
79,10545,784TS36-SG,784TS36,,-1.000000,100,,NSE,1.000000
80,10559,743HP28-SG,743HP28,,-1.000000,100,,NSE,1.000000
81,10558,782PN42-SG,782PN42,,-1.000000,100,,NSE,1.000000
82,10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1.000000,1,,NSE,10.000000
83,10723,INFRAIETF-EQ,INFRAIETF,,-1.000000,1,,NSE,1.000000
84,1075,65GJ30-SG,65GJ30,,-1.000000,100,,NSE,1.000000
85,10726,INDIAMART-EQ,INDIAMART,,-1.000000,1,,NSE,10.000000
86,1083,661RJ30-SG,661RJ30,,-1.000000,100,,NSE,1.000000
87,10793,SYRMA-EQ,SYRMA,,-1.000000,1,,NSE,5.000000
88,10839,HDFC1406DG-MF,HDFC1406DG,,-1.000000,1,,NSE,1.000000
89,10904,747TS31-SG,747TS31,,-1.000000,100,,NSE,1.000000
90,10853,761HR32-SG,761HR32,,-1.000000,100,,NSE,1.000000
91,10907,758PN42-SG,758PN42,,-1.000000,100,,NSE,1.000000
92,10892,KORE-ST,KORE,,-1.000000,250,,NSE,5.000000
93,10939,JUNIORBEES-EQ,JUNIORBEES,,-1.000000,1,,NSE,1.000000
94,10931,736GS2052-GS,736GS2052,,-1.000000,1,,NSE,1.000000
95,10971,MEGAFLEX-SM,MEGAFLEX,,-1.000000,3000,,NSE,5.000000
96,10986,TAPIFRUIT-SM,TAPIFRUIT,,-1.000000,750,,NSE,5.000000
97,11045,SATIA-EQ,SATIA,,-1.000000,1,,NSE,1.000000
98,11161,756WB42-SG,756WB42,,-1.000000,100,,NSE,1.000000
99,1116,DANGEE-BE,DANGEE,,-1.000000,1,,NSE,1.000000
100,11140,SUMIT-EQ,SUMIT,,-1.000000,1,,NSE,1.000000
101,11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1.000000,1,,NSE,1.000000
102,11193,AXISILVER-EQ,AXISILVER,,-1.000000,1,,NSE,1.000000
103,11273,749GJ26-SG,749GJ26,,-1.000000,100,,NSE,1.000000
104,11285,764MH32-SG,764MH32,,-1.000000,100,,NSE,1.000000
105,11253,WELSPUNLIV-EQ,WELSPUNLIV,,-1.000000,1,,NSE,1.000000
106,11319,LICNETFN50-EQ,LICNETFN50,,-1.000000,1,,NSE,1.000000
107,11295,772WB38-SG,772WB38,,-1.000000,100,,NSE,1.000000
108,11291,768WB32-SG,768WB32,,-1.000000,100,,NSE,1.000000
109,11301,LUXIND-EQ,LUXIND,,-1.000000,1,,NSE,10.000000
110,11457,NV20-EQ,NV20,,-1.000000,1,,NSE,1.000000
111,11405,779TN32-SG,779TN32,,-1.000000,100,,NSE,1.000000
112,11423,DATAMATICS-EQ,DATAMATICS,,-1.000000,1,,NSE,5.000000
113,11427,NDTV-EQ,NDTV,,-1.000000,1,,NSE,1.000000
114,11513,785BR32-SG,785BR32,,-1.000000,100,,NSE,1.000000
115,11505,785AS32A-SG,785AS32A,,-1.000000,100,,NSE,1.000000
116,11496,AMBICAAGAR-EQ,AMBICAAGAR,,-1.000000,1,,NSE,1.000000
117,11560,HDFC1359DG-MF,HDFC1359DG,,-1.000000,1,,NSE,1.000000
118,1000,656MH32-SG,656MH32,,-1.000000,100,,NSE,1.000000
119,10196,782GJ32-SG,782GJ32,,-1.000000,100,,NSE,1.000000
120,10252,782WB32-SG,782WB32,,-1.000000,100,,NSE,1.000000
121,10212,794TS36-SG,794TS36,,-1.000000,100,,NSE,1.000000
122,10203,793AP33-SG,793AP33,,-1.000000,100,,NSE,1.000000
123,10243,SYNGENE-EQ,SYNGENE,,-1.000000,1,,NSE,5.000000
124,10268,804PN42-SG,804PN42,,-1.000000,100,,NSE,1.000000
125,10254,EMKAYTOOLS-ST,EMKAYTOOLS,,-1.000000,150,,NSE,5.000000
126,10287,NGLFINE-BE,NGLFINE,,-1.000000,1,,NSE,10.000000
127,10330,778ML31-SG,778ML31,,-1.000000,100,,NSE,1.000000
128,10321,PKTEA-EQ,PKTEA,,-1.000000,1,,NSE,5.000000
129,10325,SKP-SM,SKP,,-1.000000,500,,NSE,5.000000
130,10511,UTINIFTETF-EQ,UTINIFTETF,,-1.000000,1,,NSE,1.000000
131,10463,782NL32-SG,782NL32,,-1.000000,100,,NSE,1.000000
132,10417,DYCL-EQ,DYCL,,-1.000000,1,,NSE,5.000000
133,10557,NAVKARCORP-EQ,NAVKARCORP,,-1.000000,1,,NSE,1.000000
134,10640,795HR37-SG,795HR37,,-1.000000,100,,NSE,1.000000
135,10637,OLECTRA-EQ,OLECTRA,,-1.000000,1,,NSE,10.000000
136,10642,795TS37-SG,795TS37,,-1.000000,100,,NSE,1.000000
137,10741,728NTPC30B-N9,728NTPC30B,,-1.000000,1,,NSE,1.000000
138,10738,OFSS-EQ,OFSS,,-1.000000,1,,NSE,50.000000
139,10684,SHAIVAL-ST,SHAIVAL,,-1.000000,3600,,NSE,5.000000
140,10761,SILVERADD-EQ,SILVERADD,,-1.000000,1,,NSE,1.000000
141,10771,766UP32-SG,766UP32,,-1.000000,100,,NSE,1.000000
142,1077,659HR30-SG,659HR30,,-1.000000,100,,NSE,1.000000
143,1076,ZENSARTECH-EQ,ZENSARTECH,,-1.000000,1,,NSE,5.000000
144,10845,771KL42-SG,771KL42,,-1.000000,100,,NSE,1.000000
145,10885,JFLLIFE-SM,JFLLIFE,,-1.000000,6000,,NSE,5.000000
146,10925,GODREJIND-EQ,GODREJIND,,-1.000000,1,,NSE,10.000000
147,1098,68TS50A-SG,68TS50A,,-1.000000,100,,NSE,1.000000
148,11027,INFOBEAN-EQ,INFOBEAN,,-1.000000,1,,NSE,5.000000
149,11072,AGRITECH-EQ,AGRITECH,,-1.000000,1,,NSE,1.000000
150,10993,INDORAMA-EQ,INDORAMA,,-1.000000,1,,NSE,1.000000
151,11094,755BR32-SG,755BR32,,-1.000000,100,,NSE,1.000000
152,11236,JSL-EQ,JSL,,-1.000000,1,,NSE,5.000000
153,11282,769BR32-SG,769BR32,,-1.000000,100,,NSE,1.000000
154,11286,771MN32-SG,771MN32,,-1.000000,100,,NSE,1.000000
155,11271,DREDGECORP-EQ,DREDGECORP,,-1.000000,1,,NSE,5.000000
156,11369,TTKHLTCARE-EQ,TTKHLTCARE,,-1.000000,1,,NSE,10.000000
157,11339,894SCL25-Z3,894SCL25,,-1.000000,1,,NSE,1.000000
158,11352,955SCL27-Z5,955SCL27,,-1.000000,1,,NSE,1.000000
159,11441,LICNETFSEN-EQ,LICNETFSEN,,-1.000000,1,,NSE,1.000000
160,11506,781GJ32-SG,781GJ32,,-1.000000,100,,NSE,1.000000
161,11447,CMRSL-SM,CMRSL,,-1.000000,800,,NSE,5.000000
162,11589,762GJ29-SG,762GJ29,,-1.000000,100,,NSE,1.000000
163,11549,TEXINFRA-EQ,TEXINFRA,,-1.000000,1,,NSE,1.000000
164,11511,CENTEXT-EQ,CENTEXT,,-1.000000,1,,NSE,1.000000
165,11563,HDFC1359RG-MF,HDFC1359RG,,-1.000000,1,,NSE,1.000000
166,11593,HDFCSENSEX-EQ,HDFCSENSEX,,-1.000000,1,,NSE,1.000000
167,1163,66AS30-SG,66AS30,,-1.000000,100,,NSE,1.000000
168,11596,LINCOLN-EQ,LINCOLN,,-1.000000,1,,NSE,5.000000
169,1162,GTL-EQ,GTL,,-1.000000,1,,NSE,1.000000
170,1006,675KA35-SG,675KA35,,-1.000000,100,,NSE,1.000000
171,10099,GODREJCP-EQ,GODREJCP,,-1.000000,1,,NSE,10.000000
172,1012,676MP40-SG,676MP40,,-1.000000,100,,NSE,1.000000
173,10159,ORICONENT-EQ,ORICONENT,,-1.000000,1,,NSE,1.000000
174,10207,793TS35-SG,793TS35,,-1.000000,100,,NSE,1.000000
175,10206,794AP34-SG,794AP34,,-1.000000,100,,NSE,1.000000
176,10197,785AS32-SG,785AS32,,-1.000000,100,,NSE,1.000000
177,10269,791TS43-SG,791TS43,,-1.000000,100,,NSE,1.000000
178,10247,782HP32-SG,782HP32,,-1.000000,100,,NSE,1.000000
179,10257,792AP42A-SG,792AP42A,,-1.000000,100,,NSE,1.000000
180,10255,795AP40A-SG,795AP40A,,-1.000000,100,,NSE,1.000000
181,10331,781HR32A-SG,781HR32A,,-1.000000,100,,NSE,1.000000
182,10333,794PN42-SG,794PN42,,-1.000000,100,,NSE,1.000000
183,10297,PPL-EQ,PPL,,-1.000000,1,,NSE,5.000000
184,10478,807WB38-SG,807WB38,,-1.000000,100,,NSE,1.000000
185,10367,78GJ32A-SG,78GJ32A,,-1.000000,100,,NSE,1.000000
186,10453,SATIN-EQ,SATIN,,-1.000000,1,,NSE,1.000000
187,10397,JISLJALEQS-EQ,JISLJALEQS,,-1.000000,1,,NSE,1.000000
188,10531,761GJ32-SG,761GJ32,,-1.000000,100,,NSE,1.000000
189,10479,797HR42-SG,797HR42,,-1.000000,100,,NSE,1.000000
190,10579,MARKSANS-EQ,MARKSANS,,-1.000000,1,,NSE,5.000000
191,10605,LOYALTEX-BE,LOYALTEX,,-1.000000,1,,NSE,5.000000
192,10634,ASAL-EQ,ASAL,,-1.000000,1,,NSE,5.000000
193,10610,USASEEDS-SM,USASEEDS,,-1.000000,300,,NSE,5.000000
194,10710,VEEKAYEM-SM,VEEKAYEM,,-1.000000,500,,NSE,5.000000
195,10719,774AP38-SG,774AP38,,-1.000000,100,,NSE,1.000000
196,10718,772AP35-SG,772AP35,,-1.000000,100,,NSE,1.000000
197,10784,774TS46-SG,774TS46,,-1.000000,100,,NSE,1.000000
198,10783,774TS45-SG,774TS45,,-1.000000,100,,NSE,1.000000
199,1080,647KA30-SG,647KA30,,-1.000000,100,,NSE,1.000000
200,10844,77TN42-SG,77TN42,,-1.000000,100,,NSE,1.000000
201,10846,771AP42-SG,771AP42,,-1.000000,100,,NSE,1.000000
202,10960,75HP36-SG,75HP36,,-1.000000,100,,NSE,1.000000
203,10962,745AP40-SG,745AP40,,-1.000000,100,,NSE,1.000000
204,10957,746MP32-SG,746MP32,,-1.000000,100,,NSE,1.000000
205,10922,OMAXAUTO-EQ,OMAXAUTO,,-1.000000,1,,NSE,1.000000
206,10990,RADICO-EQ,RADICO,,-1.000000,1,,NSE,10.000000
207,1100,GARFIBRES-EQ,GARFIBRES,,-1.000000,1,,NSE,5.000000
208,11097,758GA37A-SG,758GA37A,,-1.000000,100,,NSE,1.000000
209,11150,SHRENIK-BE,SHRENIK,,-1.000000,1,,NSE,1.000000
210,11255,HDFCQUAL-EQ,HDFCQUAL,,-1.000000,1,,NSE,1.000000
211,11281,771AP34-SG,771AP34,,-1.000000,100,,NSE,1.000000
212,11297,SIL-EQ,SIL,,-1.000000,1,,NSE,1.000000
213,11403,POONAWALLA-EQ,POONAWALLA,,-1.000000,1,,NSE,5.000000
214,11342,905SCL27-Z4,905SCL27,,-1.000000,1,,NSE,1.000000
215,11368,905SC24B-Z9,905SC24B,,-1.000000,1,,NSE,1.000000
216,1139,GICHSGFIN-EQ,GICHSGFIN,,-1.000000,1,,NSE,1.000000
217,11439,BANKBEES-EQ,BANKBEES,,-1.000000,1,,NSE,1.000000
218,11416,77PN42-SG,77PN42,,-1.000000,100,,NSE,1.000000
219,11432,KRITINUT-EQ,KRITINUT,,-1.000000,1,,NSE,1.000000
220,11597,774GA32-SG,774GA32,,-1.000000,100,,NSE,1.000000
221,1158,649KA30A-SG,649KA30A,,-1.000000,100,,NSE,1.000000
222,11606,GUFICBIO-EQ,GUFICBIO,,-1.000000,1,,NSE,5.000000
223,11522,NIITLTD-EQ,NIITLTD,,-1.000000,1,,NSE,1.000000
224,11667,DWARKESH-EQ,DWARKESH,,-1.000000,1,,NSE,1.000000
225,11618,ASTRAMICRO-EQ,ASTRAMICRO,,-1.000000,1,,NSE,10.000000
226,1164,NEWGEN-EQ,NEWGEN,,-1.000000,1,,NSE,10.000000
227,11658,79NHIT35-N1,79NHIT35,,-1.000000,1,,NSE,1.000000
228,1004,679AP34-SG,679AP34,,-1.000000,100,,NSE,1.000000
229,10055,SFMP6GD-MF,SFMP6GD,,-1.000000,1,,NSE,1.000000
230,1015,688WB40-SG,688WB40,,-1.000000,100,,NSE,1.000000
231,10213,796WB37-SG,796WB37,,-1.000000,100,,NSE,1.000000
232,10234,765TN29-SG,765TN29,,-1.000000,100,,NSE,1.000000
233,10271,79TS44-SG,79TS44,,-1.000000,100,,NSE,1.000000
234,10334,789TS34-SG,789TS34,,-1.000000,100,,NSE,1.000000
235,10336,797AP39-SG,797AP39,,-1.000000,100,,NSE,1.000000
236,10355,803AP36-SG,803AP36,,-1.000000,100,,NSE,1.000000
237,10383,802AP38-SG,802AP38,,-1.000000,100,,NSE,1.000000
238,10394,785PN32-SG,785PN32,,-1.000000,100,,NSE,1.000000
239,10350,CSLFINANCE-EQ,CSLFINANCE,,-1.000000,1,,NSE,5.000000
240,10462,781RJ32-SG,781RJ32,,-1.000000,100,,NSE,1.000000
241,10440,LUPIN-EQ,LUPIN,,-1.000000,1,,NSE,10.000000
242,1041,FINPIPE-EQ,FINPIPE,,-1.000000,1,,NSE,1.000000
243,10512,CONS-EQ,CONS,,-1.000000,1,,NSE,1.000000
244,10470,782SK32-SG,782SK32,,-1.000000,100,,NSE,1.000000
245,1054,515GS2025-GS,515GS2025,,-1.000000,1,,NSE,1.000000
246,10527,772AP34-SG,772AP34,,-1.000000,100,,NSE,1.000000
247,10541,767NL32-SG,767NL32,,-1.000000,100,,NSE,1.000000
248,10643,796AP40-SG,796AP40,,-1.000000,100,,NSE,1.000000
249,10604,BHARTIARTL-EQ,BHARTIARTL,,-1.000000,1,,NSE,10.000000
250,10618,SADBHIN-EQ,SADBHIN,,-1.000000,1,,NSE,1.000000
251,10744,737NTPC35C-NA,737NTPC35C,,-1.000000,1,,NSE,1.000000
252,10717,TIMESGTY-EQ,TIMESGTY,,-1.000000,1,,NSE,1.000000
253,10822,MOQUALITY-EQ,MOQUALITY,,-1.000000,1,,NSE,1.000000
254,10765,765AS32-SG,765AS32,,-1.000000,100,,NSE,1.000000
255,10854,762BR32-SG,762BR32,,-1.000000,100,,NSE,1.000000
256,10851,767KL34-SG,767KL34,,-1.000000,100,,NSE,1.000000
257,10840,HDFC1406DQ-MF,HDFC1406DQ,,-1.000000,1,,NSE,1.000000
258,10911,758AP40-SG,758AP40,,-1.000000,100,,NSE,1.000000
259,10913,758AP42-SG,758AP42,,-1.000000,100,,NSE,1.000000
260,10948,STCINDIA-EQ,STCINDIA,,-1.000000,1,,NSE,1.000000
261,10882,SFMP64GR-MF,SFMP64GR,,-1.000000,1,,NSE,1.000000
262,11006,LIQUIDBEES-EQ,LIQUIDBEES,,-1.000000,1,,NSE,1.000000
263,10965,746TS49-SG,746TS49,,-1.000000,100,,NSE,1.000000
264,10958,748HP33-SG,748HP33,,-1.000000,100,,NSE,1.000000
265,10967,VIVIANA-SM,VIVIANA,,-1.000000,125,,NSE,5.000000
266,11096,757JK34-SG,757JK34,,-1.000000,100,,NSE,1.000000
267,11162,HARSHA-EQ,HARSHA,,-1.000000,1,,NSE,5.000000
268,11013,ISHAN-ST,ISHAN,,-1.000000,48000,,NSE,5.000000
269,11212,SHK-EQ,SHK,,-1.000000,1,,NSE,1.000000
270,11276,768PN42-SG,768PN42,,-1.000000,100,,NSE,1.000000
271,11275,TVTODAY-EQ,TVTODAY,,-1.000000,1,,NSE,1.000000
272,11412,782AP35-SG,782AP35,,-1.000000,100,,NSE,1.000000
273,11377,MAHABANK-EQ,MAHABANK,,-1.000000,1,,NSE,1.000000
274,11399,SALZERELEC-EQ,SALZERELEC,,-1.000000,1,,NSE,5.000000
275,1145,GIPCL-EQ,GIPCL,,-1.000000,1,,NSE,1.000000
276,11543,COFORGE-EQ,COFORGE,,-1.000000,1,,NSE,50.000000
277,11488,KRIDHANINF-BE,KRIDHANINF,,-1.000000,1,,NSE,1.000000
278,11476,LLOYDS-ST,LLOYDS,,-1.000000,1000,,NSE,5.000000
279,11492,SWASTIK-SM,SWASTIK,,-1.000000,1200,,NSE,5.000000
280,11573,FORCEMOT-EQ,FORCEMOT,,-1.000000,1,,NSE,100.000000
281,11566,DCI-EQ,DCI,,-1.000000,1,,NSE,5.000000
282,11559,HDFC1359DD-MF,HDFC1359DD,,-1.000000,1,,NSE,1.000000
283,11679,784AS32-SG,784AS32,,-1.000000,100,,NSE,1.000000
284,11647,KOTARISUG-EQ,KOTARISUG,,-1.000000,1,,NSE,1.000000
285,11582,TRACXN-EQ,TRACXN,,-1.000000,1,,NSE,1.000000
286,1157,654AR30-SG,654AR30,,-1.000000,100,,NSE,1.000000
287,11581,GULFPETRO-EQ,GULFPETRO,,-1.000000,1,,NSE,1.000000
288,11588,741GJ26-SG,741GJ26,,-1.000000,100,,NSE,1.000000
289,11590,77MH30-SG,77MH30,,-1.000000,100,,NSE,1.000000
290,11626,WELENT-EQ,WELENT,,-1.000000,1,,NSE,5.000000
291,11641,BOHRAIND-BE,BOHRAIND,,-1.000000,1,,NSE,1.000000
292,11612,PHANTOMFX-SM,PHANTOMFX,,-1.000000,300,,NSE,5.000000
293,11627,NARMADA-EQ,NARMADA,,-1.000000,1,,NSE,1.000000
294,11674,747GJ25-SG,747GJ25,,-1.000000,100,,NSE,1.000000
295,11676,774HR29-SG,774HR29,,-1.000000,100,,NSE,1.000000
296,11695,788MP33-SG,788MP33,,-1.000000,100,,NSE,1.000000
297,11669,79NHIT47-N3,79NHIT47,,-1.000000,1,,NSE,1.000000
298,11768,784TS40-SG,784TS40,,-1.000000,100,,NSE,1.000000
299,11744,JINDALPHOT-BE,JINDALPHOT,,-1.000000,1,,NSE,5.000000
300,11757,750IRFC35-NK,750IRFC35,,-1.000000,1,,NSE,1.000000
301,1174,GNFC-EQ,GNFC,,-1.000000,1,,NSE,5.000000
302,11798,ALLDIGI-EQ,ALLDIGI,,-1.000000,1,,NSE,5.000000
303,11778,GOKEX-EQ,GOKEX,,-1.000000,1,,NSE,5.000000
304,11835,93SCL25-ZH,93SCL25,,-1.000000,1,,NSE,1.000000
305,11821,WELCORP-EQ,WELCORP,,-1.000000,1,,NSE,5.000000
306,11885,786JH34-SG,786JH34,,-1.000000,100,,NSE,1.000000
307,11867,776HR30-SG,776HR30,,-1.000000,100,,NSE,1.000000
308,11895,DCXINDIA-EQ,DCXINDIA,,-1.000000,1,,NSE,5.000000
309,11857,89SCL24A-ZM,89SCL24A,,-1.000000,1,,NSE,1.000000
310,11949,714NHAI26-N7,714NHAI26,,-1.000000,1,,NSE,1.000000
311,11975,RML-EQ,RML,,-1.000000,1,,NSE,5.000000
312,11896,GEOJITFSL-EQ,GEOJITFSL,,-1.000000,1,,NSE,1.000000
313,11939,AMIABLE-SM,AMIABLE,,-1.000000,1600,,NSE,5.000000
314,11981,765PN42-SG,765PN42,,-1.000000,100,,NSE,1.000000
315,12092,KAYNES-EQ,KAYNES,,-1.000000,1,,NSE,50.000000
316,1212,635MH28-SG,635MH28,,-1.000000,100,,NSE,1.000000
317,12124,DOLATALGO-EQ,DOLATALGO,,-1.000000,1,,NSE,1.000000
318,12231,OCCL-EQ,OCCL,,-1.000000,1,,NSE,1.000000
319,1227,65KA30A-SG,65KA30A,,-1.000000,100,,NSE,1.000000
320,12345,763TN47-SG,763TN47,,-1.000000,100,,NSE,1.000000
321,1246,664AS30-SG,664AS30,,-1.000000,100,,NSE,1.000000
322,12471,CAGL27A-N6,CAGL27A,,-1.000000,1,,NSE,1.000000
323,12578,FINIETF-EQ,FINIETF,,-1.000000,1,,NSE,1.000000
324,1256,673TS50-SG,673TS50,,-1.000000,100,,NSE,1.000000
325,12904,SGBAUG27-GB,SGBAUG27,,-1.000000,1,,NSE,1.000000
326,13113,758BR32-SG,758BR32,,-1.000000,100,,NSE,1.000000
